类别,子类别,问题,答案
账户及会员,会员介绍,注册企业会员需要收费吗？,企业会员目前是免费注册的。2021-1-6
购物指南,促销咨询,预约抢购的商品什么时候可以抢购？,可进入【我的预约】里查看预约抢购时间，具体方法为：
账户及会员,会员介绍,企业用户支持白条付款吗？,暂不支持白条支付，但企业用户可享受金融账期服务（即金采服务，点击此处查看详细内容），最高50万额度，最高21天免息周期，具体以京东金融页面显示为准。2021-1-6
支付问题,货到付款,货到付款可以POS机刷卡吗？,货到付款： 选择货到付款，在订单送达时您可选择现金、POS机刷卡、支票方式支付货款或通过京东APP手机客户端 【扫一扫】功能扫描包裹单上的订单条形码方式用手机来完成订单的支付（扫码支付）。注意： 如果一个ID帐号在一个月内有过1次以上或一年内累计3次以上（不含本数），因非京东原因拒收京东配送的商品，京东将从相应的ID帐户里按每单扣除500个京豆做为运费补偿；即一个用户一个月内，如果拒收次数超过一次，第一次拒收的订单不扣除京豆，第二次及以上拒收的订单，每单扣除500京豆；一个用户一年内，如果拒收次数超过三次，前三次拒收的订单不扣除京豆，第四次及以上拒收的订单，每单扣除500京豆。时间计算方法为：成功提交订单后向前推算30天为一个月，成功提交订单后向前推算365天为一年，不以自然月和自然年计算。2017-12-13
售后服务,退换货-返修申请,如何申请退货-换货？,在电脑上申请操作步骤：登陆京东网站（www.jd.com），进入“我的订单”（首页最上方），点击“客户服务”菜单下的“返修/退换货”，出现“京东售后”首页，点击“申请售后”即可操作退换货及返修，提交成功后请耐心等待，由专业的售后工作人员受理您的申请。在手机上如何申请：打开京东APP客户端，点击我的>退换/售后>申请售后（如下图），填写退换货信息后，即可提交，提交成功后请耐心等待，由专业的售后工作人员受理您的申请。2017-04-17
购物指南,交易条款,京东交易条款特别提示,京东交易条款特别提示：1.如您购买的商品在规定时间内出现国家法律所规定的性能故障或商品质量问题，需要返修/退换货时，请您在我的京东提交返修/退换货申请，申请单审核通过后，按照提示信息将物品以普通快递（到付除外）的方式寄回京东或卖家售后，相关的邮寄运费将以京东余额的形式返还到您的京东账户中。如未提交返修/退换货申请或未通过审核而将商品寄回，则京东或卖家有权拒绝您的相关申请。具体详情可参见售后政策中的《售后服务流程》 2.我们保证出货时商品外包装的完好无缺。请您在收到货物时当场仔细检查发票及货品与送货单的商品是否一致，如果发现商品缺少或已破损等情况，请当场即配送人员还在现场时与我司客服部联系；如果发现邮寄包装破损，货物在运输途中破损等情况，请当场指出并拒收，拒收后请致电我司客服，如您已签收或他人代为签收，则视为商品外包装，商品数量及内容无误，我司将无法受理。电子类商品如手机，相机，笔记本等产品请您在确认外观无损的情况下开机试用，如开机试用后，发现外观问题将无法办理。2018-06-13
发票问题,发票开具规则,图书类发票可以开具增值税专用发票吗？,从2021年1月1日起到2023年12月31日，已不再开具图书增值税专用发票 ，只能开具普通发票。2021年11月26日
配送方式,京东配送服务说明,我所在的地区支不支持隔日达服务？,由于业务发展变化、行政区域更名等因素，隔日达配送区域，可能会不时有扩大、变更或调整，具体区域请以京东最新确认为准。具体可以通过//help.jd.com/user/issue/103-983.html判断您所在地区是否支持隔日达。2017-03-03
发票问题,发票开具规则,京东卡-京东E卡能开具的发票抬头是什么？,您好，发票抬头您可以选择个人或单位。2017-05-22
支付问题,公司转账,招商银行企业易支付支付步骤,1、登录企业网银，进入“云账单（交易平台）->订单支付->订单支付经办”菜单，选择对应付款记录，点击“经办”按钮。2、登录企业网银，进入“云账单（交易平台）->订单支付->订单支付审批”菜单，选择对应的记录，点击“同意”按钮，完成支付。2021年5月24日
售后服务,售后政策（自营）,京东自营上门取件收费标准及收费方式,收费标准：收费标准商品类别50元/件大件商品，包括冰箱、洗衣机、空调、彩电、干衣机、电视柜、大件沙发、电器柜、床；30元/件中件商品，包括微波炉、饮水机、净水桶、机柜、机架、音响、燃气灶、热水器、洗碗机、消毒柜、油烟机、折叠床、电脑椅、鞋柜、电话桌、化妆台、餐桌、床垫、中型沙发、梯子、茶几；8元/件其余小件商品；协商如果您购买的第三方卖家商品所在取件地址或重量超出京东快递取件能力，您可与第三方卖家协商解决。若处理过程中发生争议，您可要求京东客服介入共同解决，联系客服
特色服务,大家电,京东燃气热水器安装收费标准,2020年9月24日
购物指南,生活旅行,线路预定流程,第一步：在线选择产品第二步：生成订单，等待确认第三步：产品确认，等待付款第四步：等待付款完成第五步：确认出行2016-01-26
